,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Loan_Status,Credit_History,Gender_Male,Self_Employed_Yes,Education_Not Graduate,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
144,11757,0.0,187.0,180.0,Y,1.0,True,False,False,True,False,False,True,False,False,False,True
145,2330,4486.0,100.0,360.0,Y,1.0,False,False,False,True,True,False,False,False,False,True,False
146,14866,0.0,70.0,360.0,Y,1.0,False,False,False,True,False,False,True,False,False,False,True
147,1538,1425.0,30.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,False,True
148,10000,1666.0,225.0,360.0,N,1.0,False,False,False,False,True,False,False,False,True,False,False
149,4860,830.0,125.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
150,6277,0.0,118.0,360.0,N,0.0,True,False,False,False,True,False,False,False,True,False,False
151,2577,3750.0,152.0,360.0,Y,1.0,True,True,False,True,True,False,False,False,True,False,False
152,9166,0.0,244.0,360.0,N,1.0,True,False,False,False,True,False,False,False,False,False,True
153,2281,0.0,113.0,360.0,N,1.0,True,False,True,True,False,False,True,False,True,False,False
154,3254,0.0,50.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,False,True
157,9538,0.0,187.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,False,True
158,2980,2083.0,120.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,True,False,False
159,4583,5625.0,255.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
160,1863,1041.0,98.0,360.0,Y,1.0,True,False,True,True,True,False,False,False,False,True,False
162,3089,1280.0,121.0,360.0,N,0.0,True,False,False,True,False,True,False,False,False,True,False
163,4167,1447.0,158.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,True,False,False
164,9323,0.0,75.0,180.0,Y,1.0,True,False,False,True,True,False,False,False,False,False,True
166,4583,0.0,112.0,360.0,N,1.0,False,False,False,True,True,False,False,False,True,False,False
167,2439,3333.0,129.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,True,False,False
168,2237,0.0,63.0,480.0,N,0.0,True,False,False,False,True,False,False,False,False,True,False
169,8000,0.0,200.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,True,False
170,1820,1769.0,95.0,360.0,Y,1.0,True,False,True,True,True,False,False,False,True,False,False
172,3522,0.0,81.0,180.0,N,1.0,True,False,True,True,False,False,False,True,True,False,False
173,5708,5625.0,187.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
174,4344,736.0,87.0,360.0,N,1.0,True,True,True,True,True,False,False,False,False,True,False
175,3497,1964.0,116.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,True,False,False
176,2045,1619.0,101.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,True,False,False
178,3750,0.0,116.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,True,False
179,2333,1451.0,102.0,480.0,N,0.0,True,False,True,False,True,False,False,False,False,False,True
180,6400,7250.0,180.0,360.0,N,0.0,True,False,False,True,False,True,False,False,False,False,True
182,4600,0.0,73.0,180.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
183,33846,0.0,260.0,360.0,N,1.0,True,False,False,True,False,True,False,False,False,True,False
184,3625,0.0,108.0,360.0,Y,1.0,False,False,False,True,True,False,False,False,False,True,False
185,39147,4750.0,120.0,360.0,Y,1.0,True,True,False,True,True,False,False,False,False,True,False
186,2178,0.0,66.0,300.0,N,0.0,True,True,False,True,False,True,False,False,True,False,False
189,9328,0.0,188.0,180.0,Y,1.0,True,False,False,True,True,False,False,False,True,False,False
190,4885,0.0,48.0,360.0,Y,1.0,True,False,True,False,True,False,False,False,True,False,False
191,12000,0.0,164.0,360.0,N,1.0,True,False,False,False,True,False,False,False,False,True,False
192,6033,0.0,160.0,360.0,N,1.0,True,False,True,True,True,False,False,False,False,False,True
193,3858,0.0,76.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,True,False
194,4191,0.0,120.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,True,False,False
195,3125,2583.0,170.0,360.0,N,1.0,True,False,False,True,False,True,False,False,False,True,False
196,8333,3750.0,187.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,True,False,False
199,11000,0.0,83.0,360.0,N,1.0,True,True,False,False,True,False,False,False,False,False,True
200,2600,2500.0,90.0,360.0,Y,1.0,True,False,True,True,False,True,False,False,False,True,False
201,4923,0.0,166.0,360.0,Y,0.0,True,False,False,False,False,False,True,False,False,True,False
203,3500,1083.0,135.0,360.0,Y,1.0,True,False,True,True,False,True,False,False,False,False,True
204,3917,0.0,124.0,360.0,Y,1.0,True,False,True,True,False,False,True,False,False,True,False
205,4408,0.0,120.0,360.0,Y,1.0,False,False,True,False,True,False,False,False,False,True,False
206,3244,0.0,80.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,False,False,True
207,3975,2531.0,55.0,360.0,Y,1.0,True,False,True,False,True,False,False,False,True,False,False
208,2479,0.0,59.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,False,True
209,3418,0.0,127.0,360.0,N,1.0,True,False,False,False,True,False,False,False,False,True,False
210,10000,0.0,214.0,360.0,N,1.0,False,False,False,False,True,False,False,False,False,True,False
211,3430,1250.0,128.0,360.0,N,0.0,True,False,False,True,False,False,False,True,False,True,False
212,7787,0.0,240.0,360.0,Y,1.0,True,True,False,True,False,True,False,False,False,False,True
213,5703,0.0,130.0,360.0,Y,1.0,True,True,True,True,False,False,False,True,True,False,False
214,3173,3021.0,137.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,False,True
215,3850,983.0,100.0,360.0,Y,1.0,True,False,True,True,False,False,False,True,False,True,False
216,150,1800.0,135.0,360.0,N,1.0,True,False,False,True,True,False,False,False,True,False,False
217,3727,1775.0,131.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
218,5000,0.0,72.0,360.0,N,0.0,True,False,False,True,False,False,True,False,False,True,False
220,2221,0.0,60.0,360.0,N,0.0,True,False,False,True,True,False,False,False,False,False,True
221,4009,1717.0,116.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,True,False
222,2971,2791.0,144.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,True,False
224,6250,0.0,128.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
225,3250,0.0,170.0,360.0,N,1.0,True,False,False,True,True,False,False,False,True,False,False
226,4735,0.0,138.0,360.0,N,1.0,True,True,True,True,True,False,False,False,False,False,True
227,6250,1695.0,210.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,True,False
229,6400,0.0,200.0,360.0,Y,1.0,True,True,False,False,True,False,False,False,True,False,False
230,2491,2054.0,104.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,True,False
231,3716,0.0,42.0,180.0,Y,1.0,True,False,False,True,True,False,False,False,True,False,False
234,3155,1779.0,140.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,True,False
235,5500,1260.0,170.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,True,False,False
238,3812,0.0,112.0,360.0,Y,1.0,False,False,False,False,False,True,False,False,True,False,False
239,3315,0.0,96.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,True,False
240,5819,5000.0,120.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,True,False,False
241,2510,1983.0,140.0,180.0,N,1.0,True,False,True,True,False,True,False,False,False,False,True
242,2965,5701.0,155.0,60.0,Y,1.0,True,False,False,False,True,False,False,False,False,False,True
243,6250,1300.0,108.0,360.0,Y,1.0,True,True,False,True,False,False,True,False,True,False,False
244,3406,4417.0,123.0,360.0,Y,1.0,True,False,True,True,True,False,False,False,False,True,False
245,6050,4333.0,120.0,180.0,N,1.0,True,True,False,False,True,False,False,False,False,False,True
246,9703,0.0,112.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,False,True
247,6608,0.0,137.0,180.0,Y,1.0,True,False,True,True,False,True,False,False,False,False,True
248,2882,1843.0,123.0,480.0,Y,1.0,True,False,False,True,False,True,False,False,False,True,False
249,1809,1868.0,90.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,False,True
250,1668,3890.0,201.0,360.0,N,0.0,True,False,True,True,True,False,False,False,False,True,False
251,3427,0.0,138.0,360.0,N,1.0,False,False,False,False,False,False,True,False,False,False,True
252,2583,2167.0,104.0,360.0,Y,1.0,True,True,True,False,True,False,False,False,True,False,False
254,16250,0.0,192.0,360.0,N,0.0,True,True,False,False,True,False,False,False,False,False,True
255,3083,0.0,255.0,360.0,Y,1.0,False,False,False,False,False,False,False,True,True,False,False
256,6045,0.0,115.0,360.0,N,0.0,True,False,True,False,True,False,False,False,True,False,False
257,5250,0.0,94.0,360.0,N,1.0,True,False,False,True,False,False,False,True,False,False,True
261,2060,2209.0,134.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,True,False
262,3481,0.0,155.0,36.0,N,1.0,False,False,False,False,False,True,False,False,False,True,False
263,7200,0.0,120.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,True,False,False
264,5166,0.0,128.0,360.0,Y,1.0,True,True,False,False,True,False,False,False,False,True,False
265,4095,3447.0,151.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,True,False,False
266,4708,1387.0,150.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,True,False
267,4333,1811.0,160.0,360.0,Y,0.0,True,False,False,True,False,False,False,True,False,False,True
268,3418,0.0,135.0,360.0,N,1.0,False,False,False,False,True,False,False,False,True,False,False
269,2876,1560.0,90.0,360.0,Y,1.0,False,False,False,False,False,True,False,False,False,False,True
270,3237,0.0,30.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,False,False,True
271,11146,0.0,136.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,False,True
272,2833,1857.0,126.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,True,False,False
273,2620,2223.0,150.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
274,3900,0.0,90.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,True,False
275,2750,1842.0,115.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,True,False
276,3993,3274.0,207.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
277,3103,1300.0,80.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,False,True
280,4053,2426.0,158.0,360.0,N,0.0,True,True,True,False,False,True,False,False,False,False,True
281,3927,800.0,112.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
282,2301,985.7999878,78.0,180.0,Y,1.0,True,False,False,True,False,False,True,False,False,False,True
283,1811,1666.0,54.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,False,False,True
285,3158,3053.0,89.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,True,False,False
286,2600,1717.0,99.0,300.0,N,1.0,False,True,False,False,True,False,False,False,False,True,False
287,3704,2000.0,120.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,True,False,False
288,4124,0.0,115.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,False,True,False
289,9508,0.0,187.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,True,False,False
290,3075,2416.0,139.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,True,False,False
291,4400,0.0,127.0,360.0,N,0.0,True,False,False,True,False,False,True,False,False,True,False
292,3153,1560.0,134.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,False,True
293,5417,0.0,143.0,480.0,N,0.0,False,False,False,False,True,False,False,False,False,False,True
294,2383,3334.0,172.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
295,4416,1250.0,110.0,360.0,Y,1.0,True,False,False,True,False,False,False,True,False,False,True
296,6875,0.0,200.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,True,False
297,4666,0.0,135.0,360.0,Y,1.0,False,False,False,True,False,True,False,False,False,False,True
298,5000,2541.0,151.0,480.0,N,1.0,False,False,False,False,True,False,False,False,True,False,False
299,2014,2925.0,113.0,360.0,N,1.0,True,False,False,True,False,True,False,False,False,False,True
300,1800,2934.0,93.0,360.0,N,0.0,True,False,True,True,True,False,False,False,False,False,True
301,2875,1750.0,105.0,360.0,Y,1.0,True,False,True,True,True,False,False,False,False,True,False
302,5000,0.0,132.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,True,False,False
303,1625,1803.0,96.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,False,True
304,4000,2500.0,140.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,True,False,False
306,3762,1666.0,135.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,True,False,False
307,2400,1863.0,104.0,360.0,N,0.0,False,False,False,False,True,False,False,False,False,False,True
310,2917,0.0,84.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,False,True,False
311,2927,2405.0,111.0,360.0,Y,1.0,True,False,True,False,True,False,False,False,False,True,False
312,2507,0.0,56.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,True,False,False
315,3399,1640.0,111.0,180.0,Y,1.0,True,False,True,True,False,True,False,False,False,False,True
316,3717,0.0,120.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,True,False
319,10000,0.0,155.0,360.0,N,1.0,True,True,False,True,False,True,False,False,True,False,False
320,2400,2167.0,115.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
321,4342,189.0,124.0,360.0,Y,1.0,True,False,False,True,False,False,False,True,False,True,False
326,4917,0.0,130.0,360.0,Y,0.0,True,False,False,False,True,False,False,False,True,False,False
327,5818,2160.0,184.0,360.0,Y,1.0,True,True,False,True,True,False,False,False,False,True,False
328,4333,2451.0,110.0,360.0,N,1.0,False,False,False,True,True,False,False,False,False,False,True
329,2500,0.0,67.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,False,False,True
330,4384,1793.0,117.0,360.0,Y,1.0,True,False,False,False,False,True,False,False,False,False,True
331,2935,0.0,98.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,True,False
332,2833,0.0,71.0,360.0,Y,1.0,True,False,False,False,True,False,False,False,False,False,True
336,5250,688.0,160.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,True,False,False
337,2500,4600.0,176.0,360.0,Y,1.0,True,True,False,True,False,False,True,False,True,False,False
339,4160,0.0,71.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,False,True,False
340,2647,1587.0,173.0,360.0,N,1.0,True,False,True,True,False,False,False,True,True,False,False
341,2378,0.0,46.0,360.0,N,1.0,False,False,False,False,True,False,False,False,True,False,False
342,4554,1229.0,158.0,360.0,Y,1.0,True,False,True,True,False,True,False,False,False,False,True
343,3173,0.0,74.0,360.0,Y,1.0,True,False,True,True,False,False,False,True,False,True,False
344,2583,2330.0,125.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,True,False,False
345,2499,2458.0,160.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
346,3523,3230.0,152.0,360.0,N,0.0,True,False,True,True,True,False,False,False,True,False,False
347,3083,2168.0,126.0,360.0,Y,1.0,True,False,True,True,False,False,True,False,False,False,True
349,2625,6250.0,187.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,True,False,False
350,9083,0.0,228.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,True,False
352,2666,2083.0,95.0,360.0,Y,1.0,True,False,False,True,False,False,False,True,True,False,False
353,5500,0.0,105.0,360.0,N,0.0,False,True,False,True,True,False,False,False,True,False,False
354,2423,505.0,130.0,360.0,Y,1.0,False,False,False,True,True,False,False,False,False,True,False
355,3813,0.0,116.0,180.0,Y,1.0,False,False,False,False,True,False,False,False,False,False,True
356,8333,3167.0,165.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,True,False,False
357,3875,0.0,67.0,360.0,N,1.0,True,False,False,True,False,True,False,False,False,False,True
358,3000,1666.0,100.0,480.0,N,0.0,True,False,True,True,True,False,False,False,False,False,True
359,5167,3167.0,200.0,360.0,Y,1.0,True,False,False,True,False,False,False,True,False,True,False
360,4723,0.0,81.0,360.0,N,1.0,False,False,False,False,False,True,False,False,False,True,False
361,5000,3667.0,236.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,True,False
362,4750,2333.0,130.0,360.0,Y,1.0,True,False,False,True,True,False,False,False,False,False,True
364,6822,0.0,141.0,360.0,Y,1.0,True,True,False,False,True,False,False,False,True,False,False
365,6216,0.0,133.0,360.0,N,1.0,True,False,True,False,True,False,False,False,True,False,False
366,2500,0.0,96.0,480.0,N,1.0,True,False,False,False,True,False,False,False,False,True,False
368,6325,0.0,175.0,360.0,Y,1.0,True,False,False,True,False,True,False,False,False,True,False
370,15759,0.0,55.0,360.0,Y,1.0,False,True,False,False,True,False,False,False,False,True,False
371,5185,0.0,155.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,True,False
373,3062,1987.0,111.0,180.0,N,0.0,True,False,False,False,False,True,False,False,False,False,True
374,2764,1459.0,110.0,360.0,Y,1.0,False,False,False,False,True,False,False,False,False,False,True
375,4817,923.0,120.0,180.0,Y,1.0,True,False,False,True,True,False,False,False,False,False,True
376,8750,4996.0,130.0,360.0,Y,1.0,True,False,False,True,False,False,False,True,True,False,False
378,3069,0.0,71.0,480.0,N,1.0,True,False,False,False,True,False,False,False,False,False,True
379,5391,0.0,130.0,360.0,Y,1.0,True,False,False,True,False,False,True,False,False,False,True
